"Name","Country","Years.active","Proven.victims","Possible.victims","Notes","Proven.victims.","Miscellaneous.information","Proven victims","Proven victims*","victims"
"Seisaku Nakamura","Japan","1938 to 1942",NA,"",NA,"11","Teenager serial killer known as the ""Hamamatsu Deaf Killer"" for being born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed.",0,11,11
"Very Idham Henyansyah","Indonesia","2008 and earlier",NA,"",NA,"11","Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase.",0,11,11
"Francisco de Assis Pereira","Brazil","1997 to 1998",NA,"",NA,"11","Rapist and serial killer, known as ""O Maníaco do Parque"" (The Park Maniac). He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency.",0,11,11
"Rudolf Pleil","Germany","1946 to 1947",NA,"25",NA,"10","Known as ""The Deathmaker"". Convicted of killing salesman and nine women. Claimed to have killed 25.",0,10,10
"Milton Johnson","United States","1983",NA,"17",NA,"10","Known as ""The Weekend Murderer"" killed up to 17 people.[58]",0,10,10
"Long Island serial killer","United States","1996 to 2011",NA,"14",NA,"10","Also known as ""The Gilgo Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.",0,10,10
"Daniel Lee Siebert","United States","1979 to 1986",NA,"13",NA,"10","Convicted of 1979 manslaughter; killed ten people across America in three months in mid-1980s including two children and a Southside Slayer victim.[59]",0,10,10
"Original Night Stalker","United States","1979 to 1986",NA,"13",NA,"10","Also known as ""The East Area Rapist"". Killer and rapist who murdered ten people in Southern California from 1979 through 1986.",0,10,10
"Lonnie David Franklin, Jr.","United States","1985 to 2007",NA,"11",NA,"10","Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles.",0,10,10
"Bobbie Joe Long","United States","1984",NA,"10+",NA,"10","Known as ""The Classified Ad Rapist""; killed 10 women in Tampa Bay, Florida in 1984.",0,10,10
"Stewart Wilken","South Africa","1990 to 1997",NA,"10+",NA,"10","Known as ""Boetie Boer""; raped, sodomised and murdered 10 victims from 1990–1997.",0,10,10
"David Randitsheni","South Africa","2004 to 2008",NA,"10+",NA,"10","Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.",0,10,10
"Edmund Kemper","United States","1964 to 1973",NA,"",NA,"10","A victim of Herbert Mullin was attributed to him originally.[60]",0,10,10
"Dennis Rader","United States","1974 to 2004",NA,"",NA,"10","Known as the BTK Killer. Murdered ten people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991.",0,10,10
"Dorangel Vargas","Venezuela","1997 to 1999",NA,"",NA,"10","Homeless cannibal known as ""The People Eater"" and ""The Hannibal Lecter of the Andes"".",0,10,10
"Ali Kaya","Turkey","1997 to present",NA,"",NA,"10","Known as ""the baby faced killer""; responsible for 10 murders. Escaped from prison and later recaptured.[61]",0,10,10
"Robert Joe Wagner","Australia","1992 to 1999",NA,"",NA,"10","Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.",0,10,10
"Jeanne Weber","France","1905 to 1908",NA,"",NA,"10","Transient baby-sitter who strangled children in her care. Declared insane. Hanged herself in prison on July 5, 1918.",0,10,10
"Henry Louis Wallace","United States","1990 to 1994",NA,"",NA,"10","Confessed to 10 murders in Charlotte, North Carolina.[62]",0,10,10
"Angelo Buono","United States","1977 to 1979",NA,"",NA,"10","Convicted of strangling ten females. One of the ""Hillside Stranglers"". Died in prison in 2002.",0,10,10
"Oleg Kuznetsov","Russia","1991 to 1992",NA,"",NA,"10","Killed 10 women and girls from 1991 to 1992; sentenced to death but later commuted to life imprisonment.",0,10,10
"Hwaseong killer","South Korea","1986 to 1991",NA,"",NA,"10","The victims, women aged 14 to 71, were bound, gagged and strangled to death with their own clothes in most cases. The largest criminal case in South Korea with two million officers mobilized and over 21,000 suspects investigated, but went ultimately unsolved.",0,10,10
"Satish","India","1995 to 1998",NA,"",NA,"10","Killed ten girls who were between the ages of 5 to 9 years old.",0,10,10
"Zhou Kehua","China","2004 to 2012",NA,"",NA,"10","A former soldier who targeted ATM users. He killed 10 people and evaded the law for 8 years, before being shot in a shootout with police after a year-long manhunt.",0,10,10
"Kang Ho Sun","South Korea","2006 to 2008",NA,"",NA,"10","Sentenced to death in 2010 for killing 10 women, including his wife and mother-in-law.[63]",0,10,10
"Volker Eckert","Germany","1974 to 2006",NA,"19",NA,"9-13","German trucker that confessed to have abducted, tortured and killed 5 prostitutes through his route in Western Europe, plus strangling a 14-years old girl in his native West Germany in 1974, when he was 15. Police considered him perpetrator of 9 murders (with 4 more being possible), but he hanged himself in prison before being convicted.",0,NA,NA
"Peter Kürten","Germany","1913 to 1930",NA,"79",NA,"9","Charged with nine murders and seven attempted murders. Dubbed ""The Vampire of Düsseldorf"" by the contemporary media. Executed by guillotine in 1931.",0,9,9
"Norman Afzal Simons","South Africa","1986 to 1994",NA,"22",NA,"9","Known as the ""Station Strangler"", convicted of only one of 22 cases of murder and sodomy of young children near Cape Town.[64]",0,9,9
"Francis Heaulme","France","1984 to 1992",NA,"20",NA,"9","Convicted of killing 9 people, but suspected in the murder of dozens. He is known as the ""Criminal Backpacker"" due to his travels throughout France. He left a trail of bodies wherever he went.[65]",0,9,9
"Joel Rifkin","United States","1989 to 1993",NA,"17",NA,"9","Known as ""The Drifter"",[66] killed prostitutes in New York City, most of them drug addicts. Convicted of nine murders but believed to have committed 17; also suspected of being the unidentified Long Island serial killer.",0,9,9
"Dagmar Overbye","Denmark","1913 to 1920",NA,"15",NA,"9","Murdered between 9 and 25 children – of which one was her own – during a seven-year period. On March 3, 1921, she was sentenced to death in one of the most talked about trials in Danish history, that changed legislation on childcare. The sentence was later commuted to life in prison. Overbye was working as a professional child caretaker, caring for babies born outside of marriage, murdering her own charges. She strangled them, drowned them or burned them to death in her masonry heater. The corpses were either cremated, buried or hidden in the loft.",0,9,9
"Kenneth McDuff","United States","1966 to 1992",NA,"14+",NA,"9","Known as ""The Broomstick Killer""; death sentence for 1966 triple-murder commuted; killed three days after 1989 parole and ten further times in Waco, Texas until 1992. Executed by lethal injection by the state of Texas on November 17, 1998.",0,9,9
"Robert Joseph Silveria, Jr.","United States","1981 to 1996",NA,"14+",NA,"9","Known as ""The Boxcar Killer""; freight train rider convicted of beating to death fellow transients and confessed to dozens more.",0,9,9
"Richard Biegenwald","United States","1958 to 1983",NA,"11+",NA,"9","Known as ""The Thrill Killer"". Killed at least nine people in Monmouth County, New Jersey and is suspected in at least two other murders.[67]",0,9,9
"Alexander Bychkov","Russia","2009 to 2012",NA,"11",NA,"9","Described in his personal diary how he killed 11 men who were alcoholics and tramps. Confessed to eating body parts of his victims. Found guilty of nine murders and sentenced to life imprisonment.",0,9,9
"New Bedford Highway Killer","United States","1988 to 1989",NA,"11",NA,"9","Murders of nine women and disappearance of two others between 1988 and 1989.",0,9,9
"Edgecombe County Serial Killer","United States","2000s",NA,"10",NA,"9","Murders of nine women and disappearance of another since 2005 around Rocky Mount, North Carolina. Antwan Pittman has been convicted in one case.",0,9,9
"Sergei Martynov","Russia","1992 to 2010",NA,"9+",NA,"9","Convicted of raping and murdering a woman in 1992. Sentenced to life imprisonment for killing eight more women during a violent crime spree between 2005 and 2010.",0,9,9
"Anatoly Utkin","Russia","1968 to 1973",NA,"",NA,"9","Known as ""Ulyanovsky maniac""; killed 8 girls and 1 man from 1968 to 1973; executed 1975.",0,9,9
"Ondrej Rigo","Slovakia","1990 to 1992",NA,"",NA,"9","Slovak serial killer and necrophile who committed his murders during the early 1990s in Slovakia, Germany and the Netherlands. He was arrested in 1992 and received a life sentence in 1994. He remains the murderer with the biggest number of victims in the modern history of Slovakia.",0,9,9
"Timothy Krajcir","United States","1977 to 1982",NA,"",NA,"9","Confessed to killing nine women, five in Missouri and four others in Illinois and Pennsylvania.",0,9,9
"Gilberto Chamba","Ecuador","1988 to 2004",NA,"",NA,"9","Taxi driver known as ""The Monster of Machala"", between 1988 and 1993 abducted 10 of his passengers (all lone female students) in this Ecuadorian city and killed 8, often raping them after with a stick. Though sentenced to 16 years in prison, he benefitted from an amnesty campaign in 2000 that also cleared his criminal record and moved to Spain, where he was arrested for the rape and murder of another student and the attempted rape and murder of a prostitute in 2004. Sentenced in 2005 to 45 years in prison.",0,9,9
"Alfred Gaynor","United States","1995 to 1998",NA,"",NA,"9","Crack cocaine addict. Killed nine women in Massachusetts. Sentenced to life in prison on May 19, 2000.",0,9,9
"Mark Goudeau","United States","2005 to 2006",NA,"",NA,"9","Known as ""The Baseline Killer""; convicted of nine murders in Phoenix, Arizona.",0,9,9
"Joseph Paul Franklin","United States","1977 to 1980",NA,"20",NA,"8–15","Confessed to 20 murders and several attempted murders. Executed November 2013.",0,NA,NA
"Yoshio Kodaira","Japan","1928? to 1946",NA,"Unknown",NA,"8-11+","A serial rapist, Kodaira killed his father-in-law in 1932 and 8 to 10 women in Japan between 1945 and 1946, engaging in necrophilia after the fifth murder. Previously (1920s) he had been deployed to Northern China as a sailor in the Imperial Japanese Navy, where he was free to target the locals. Hanged in 1949.",0,NA,NA
"Keith Hunter Jesperson","United States","1990 to 1995",NA,"160",NA,"8","Dubbed the ""Happy Face Killer"", Jesperson was convicted of killing 8 women by strangulation.",0,8,8
"Rodney Alcala","United States","1977 to 1979",NA,"8–100+",NA,"8","Known as the ""Dating Game Killer"" for appearing on the game show The Dating Game in the middle of his killing years. Was convicted of at least five murders, though his actual total is estimated to be much higher. Had a locker filled with thousands of photographs of women and children, most in sexually explicit poses, and it is suspected that some of the women photographed may be among Alcala's additional victims.",0,8,8
"Kiyotaka Katsuta","Japan","1982 to 1983",NA,"22",NA,"8","Strangled or shot people to rob them, using a gun he had stolen from a policeman after running him over with his car. Hanged in 2000.",0,8,8
"Christopher Wilder","United States","1984",NA,"13+",NA,"8","Killed eight women during a spree before accidentally killing himself; suspected in the disappearance and murder of more than 5 more.[68]",0,8,8
"Axeman of New Orleans","United States","1918 to 1919",NA,"12+",NA,"8","Killer of at least eight people in the New Orleans area from May 1918 to October 1919.",0,8,8
"Gilbert Paul Jordan","Canada","1965 to 1987",NA,"10",NA,"8","Known as the ""Boozing Barber"", believed to have committed the ""Alcohol murders"" killed women by alcohol poisoning; deceased (2006).",0,8,8
"Frankford Slasher","United States","1985 to 1990",NA,"9",NA,"8","Allegedly responsible for nine murders in the Frankford neighborhood of Philadelphia, Pennsylvania; Leonard Christopher was convicted of one murder; another murder was committed in same style while he was incarcerated; believed to still be at large.",0,8,8
"Kendall Francois","United States","1996 to 1998",NA,"9",NA,"8","Admitted to killing eight prostitutes in Poughkeepsie, New York, but denied involvement with the disappearance of a ninth prostitute.",0,8,8
"John Edward Robinson","United States","1984 to 2000",NA,"8+",NA,"8","Known as ""The Slavemaster""; lured victims through the internet.",0,8,8
"Eric Edgar Cooke","Australia","1959 to 1963",NA,"",NA,"8","Nicknamed ""The Night Caller"", he terrorized the city of Perth assaulting 22 people at random with various means, killing eight of them. Hanged in 1964.",0,8,8
"Marie Noe","United States","1949 to 1968",NA,"",NA,"8","Murdered eight of her children between 1949 and 1968.",0,8,8
"Gary C. Evans","United States","1985 to 1998",NA,"",NA,"8","Befriended the Son of Sam killer while incarcerated. Released in 1984, he proceeded to burglarize and kill while in and out of jails for over 13 years. Aided investigators in a high profile murder case before dodging parole and being chased. The manhunt finally ended when he jumped to his death off a bridge.",0,8,8
"Colonial Parkway Killer","United States","1986 to 1989",NA,"",NA,"8","Believed to have murdered at least eight people in Virginia between 1986 and 1989; left three couples dead and one couple missing and presumed dead.",0,8,8
"Michael Bruce Ross","United States","1981 to 1984",NA,"",NA,"8","Ross confessed to all of the murders, and was convicted of four of them. He was executed by the state of Connecticut on May 13, 2005 by lethal injection, making it the first execution in Connecticut and the whole of New England since 1960.",0,8,8
"Marybeth Tinning","United States","1972 to 1983",NA,"",NA,"8","Suffocated eight of her nine children during the 1970s. One daughter died of natural causes shortly after birth, the first of the Tinning children to die.",0,8,8
"Sean Vincent Gillis","United States","1994 to 2003",NA,"",NA,"8","Kidnapped, raped, and mutilated the corpses of Louisiana women.[69][70][71]",0,8,8
"John Christie","United Kingdom","1943 to 1953",NA,"",NA,"8","Gassed, strangled and in some cases raped eight women (one of them his wife) in his flat of Notting Hill, London. Prior to Christie's arrest, one of his victims was attributed to the victim's father, who was hanged after a trial where Christie declared as a witness. The controversy generated led to the abolition of the death penalty in the United Kingdom.",0,8,8
"Genzo Kurita","Japan","1948 to 1952",NA,"",NA,"8","Serial rapist and murderer, engaging in necrophilia in two of his murders. Two other victims were the children of the woman he targeted, who Kurita threw off a cliff (a third child survived). Hanged in 1959.",0,8,8
"Kiyoshi Okubo","Japan","1971",NA,"",NA,"8","Raped and murdered eight women aged 17 to 21 upon his release from prison, where he had been for previous rapes. Hanged in 1976.",0,8,8
"Paul Ogorzow","Germany","1940 to 1941",NA,"",NA,"8","Known as the ""S-Bahn murderer""; SA sergeant convicted of raping and murdering eight women by throwing them off trains in Berlin during blackouts in 1941 and 1942. Executed by guillotine at the Plötzensee Prison on July 26, 1941.",0,8,8
"Vladimir Mukhankin","Russia","1995 to 1996",NA,"",NA,"8","Known as ""The pupil of Chikatilo""; he killed 8 women.",0,8,8
"Nikolai Dzhumagaliev","Kazakhstan","1980 and earlier",NA,"50–100",NA,"7","Lured women in a park at night and hacked them with an axe as part of a plan to rid the world of prostitution. Also cooked parts of his victims and ate them himself or served them to other people as part of ethnic dishes. Found innocent for reason of insanity and interned in a mental institution.",0,7,7
"Manuel Delgado Villegas","Spain","1964 to 1971",NA,"48",NA,"7","Wandering criminal known as ""El Arropiero"" (The Arrope Trader) and ""El Estrangulador del Puerto"" (The Strangler of Puerto), confessed to the impulsive murders of 48 people of different gender, age, and sexual orientation in three countries (including his girlfriend, which he strangled during sex), though police only investigated him for 22 murders in Spain and was considered proven author of 7. Some of his victims were killed with hand to hand combat techniques that he had learned in the Spanish Foreign Legion. Diagnosed with XYY syndrome and interned in a mental institution until his death in 1998.",0,7,7
"Harrison Graham","United States","1987",NA,"",NA,"7","Convicted of killing seven women in Philadelphia and keeping their bodies in his apartment.[72]",0,7,7
"Ivan Milat","Australia","1990s",NA,"23–37",NA,"7","Convicted of the Backpacker murders; sentenced to seven consecutive life sentences plus 18 years without the possibility of parole. May have had accomplices.",0,7,7
"Michael Wayne McGray","Canada","1980s to 2010s",NA,"18",NA,"7","Convicted of the murder of 6 people in the late 1990s, including a woman and her 11-year-old daughter. Claims to have killed 11 others. In 2010, killed a cellmate.",0,7,7
"Kenneth Erskine","United Kingdom","1986",NA,"11",NA,"7","Known as ""The Stockwell Stranger"", he was a burglar who raped and strangled at least 7 elderly women after breaking into their home.",0,7,7
"David Carpenter","United States","1979 to 1981",NA,"11",NA,"7","Known as ""The Trailside Killer""; murdered women on San Francisco-area hiking trails between 1979 and 1981. Sentenced to death.",0,7,7
"Derrick Todd Lee","United States","2002",NA,"10",NA,"7","Known as the ""Baton Rouge or South Louisiana Serial Killer"" convicted of three murders, sentenced to death by lethal injection. Believed to have murdered several other women in Louisiana, Mississippi and Alabama.",0,7,7
"Peter Manuel","United Kingdom","1956 to 1958",NA,"9",NA,"7","A US-born Scottish burglar and serial killer who was convicted of murdering seven people across Lanarkshire between 1956 and 1958, believed to have killed a further two. Manuel was the third-last prisoner to be hanged in Scotland, after a sensational trial in which he conducted his own defence.",0,7,7
"Terry Blair","United States","1982 to 2004",NA,"9",NA,"7","Kansas City serial killer and rapist; active 1982–2004. Sentenced to life.",0,7,7
"Doug Clark","United States","1980",NA,"8+",NA,"7","Boiler operator who killed prostitutes in Los Angeles. One of the ""Sunset Strip Killers"".",0,7,7
"Stanisław Modzelewski","Poland","1952 to 1967",NA,"8",NA,"7","Known as ""The Vampire of Gałkówek"". Confessed to strangling eight women, but convicted of seven because one of the bodies was never found. Hanged.",0,7,7
"Michael Hughes","United States","1986 to 1993",NA,"8",NA,"7","Killed six women and a schoolgirl in the South Los Angeles area between 1986 and 1993.",0,7,7
"Daniel Audiel López Martínez","Mexico","1998 to 2008",NA,"8",NA,"7","Killed five women and two men in Ciudad Juarez between 1998 and 2008. Sentenced to life imprisonment.",0,7,7
"Santa Rosa Hitchhiker Killer","United States","1972 to 1973",NA,"7+",NA,"7","""Santa Rosa Hitchhiker Murders"": Series of at least seven unsolved homicides involving female hitchhikers that took place in Sonoma County and Santa Rosa of the North Bay area of California in 1972 and 1973.",0,7,7
"Carlton Gary","United States","1975 to 1978",NA,"7+",NA,"7","Known as ""The Stocking Strangler"". Convicted of the murders of seven elderly women in Georgia. Sentenced to death.",0,7,7
"Roger Kibbe","United States","1977 to 1987",NA,"7+",NA,"7","Known as ""The I-5 Strangler"", killed 7 women between 1977 and 1987. 6 along I-5 near Sacramento, and one in Walnut Creek, California. He was tried for the Walnut Creek murder by the Grand Jury before the body was found but in exchange for helping to find the body Kibbe was spared the death penalty and received life in prison. It took detectives 34 years to find the body.",0,7,7
"Connecticut River Valley Killer","United States","1978 to 1987",NA,"7+",NA,"7","Believed responsible for a series of similar knife murders mostly in and around Claremont, New Hampshire, and the Connecticut River Valley, primarily in the 1980s.",0,7,7
"Darren Deon Vann","United States","2014 and earlier",NA,"7+",NA,"7","Confessed to the murders of at least seven women.",0,7,7
"Motta Navas","India","1996 to 2012",NA,"",NA,"7","Active in Kollam, Kerala, Navas was arrested and imprisoned for his first two murders in 1996 and 2007. During his final crime spree in 2012, he bludgeoned to death five elderly pavement dwellers in their sleep, always after midnight. He feigned a mental illness to avoid suspicion by the police in at least two occasions.",0,7,7
"Ripper Jayanandan","India","2003 to 2006",NA,"",NA,"7","Killed seven people during robberies. Sentenced to death.",0,7,7
"Sataro Fukiage","Japan","1906 to 1924",NA,"",NA,"7","Killed seven girls aged 11 to 16 and raped between 93 and 100. Hanged in 1926.",0,7,7
"Václav Mrázek","Czech Republic","1951 to 1956",NA,"",NA,"7","Killed 7 women in Chomutov. Executed in 1957.",0,7,7
"Paul Dennis Reid","United States","1997",NA,"",NA,"7","Reid killed the employees of restaurants he targeted for a series of robberies.",0,7,7
"Joseph Taborsky","United States","1950 to 1957",NA,"",NA,"7","Joseph ""Mad Dog"" Taborsky was sentenced to death after brutal robberies and murders in Connecticut during the 1950s.",0,7,7
"Roberto Succo","Italy","1981 to 1988",NA,"",NA,"7","In 1986 he escaped the mental hospital where he was recluded in for murdering his parents five years earlier and began a crime spree in Europe that included burglary, hijacking, kidnapping, rape and murder and earned him the Public Enemy Number One spot in Italy, France and Switzerland. Committed suicide in prison after failing to escape a second time.",0,7,7
"Émile Louis","France","1975 to 1978",NA,"",NA,"7","Bus driver that preyed on young handicapped women (seven murders) in the 1970s. Sentenced to life in prison on November 25, 2004.",0,7,7
"Guy Georges","France","1991 to 1997",NA,"",NA,"7","Known as the ""Beast of the Bastille""; serving a life sentence for seven murders between 1991 and 1997.",0,7,7
"Paul Steven Haigh","Australia","1978 to 1991",NA,"",NA,"7","Sentenced to life imprisonment without parole for the murders of seven people in Victoria.",0,7,7
"Anatoly Slivko","Russia","1961 to 1985",NA,"",NA,"7","As a member of the Young Pioneers (Soviet Boy Scouts), Slivko gained the trust of 43 young boys over almost three decades, asphyxiated them until they fell unconscious, and then ritually molested, filmed, photographed and resuscitated them. The seven boys that didn't wake up were dismembered and burned. Minutes before his execution in 1989, police asked Slivko for advice in the investigation of Andrei Chikatilo's crimes.",0,7,7
"Aleksey Sukletin","Russia","1979 to 1985",NA,"",NA,"7","Known as ""The Alligator""; killed and cannibalized at least 7 girl and women from 1979 to 1985; executed 1987.",0,7,7
"Christopher Peterson","United States","1990",NA,"",NA,"7","Known as ""The Shotgun Killer"", later changed name Obadyah Ben-Yisrayl, confessed to shooting seven people with a shotgun in a killing spree spanning from October 30, 1990 to December 18, 1990 in Indiana. Sentenced to death, commuted to life.",0,7,7
"Cincinnati Strangler","United States","1965 to 1966",NA,"",NA,"7","Raped and strangled seven mostly elderly women in Cincinnati, Ohio between 1965 and 1966. Believed to be Posteal Laskey, who was convicted of one murder and died in prison on May 29, 2007.",0,7,7
"Paul Durousseau","United States","1997 to 2003",NA,"",NA,"7","Murdered seven young women (including two who were pregnant) in the southeast United States. Sentenced to death on December 13, 2007.",0,7,7
"Samuel Sidyno","South Africa","1998 to 1999",NA,"",NA,"7","Known as the ""Capital Hill Serial Killer"" murdered 7 people in Pretoria from 1998–1999.",0,7,7
"Sibusiso Duma","South Africa","2007",NA,"",NA,"7","Murdered 7 people in the Pietermaritzburg area of KwaZulu Natal in 2007.",0,7,7
"Walter E. Ellis","United States","1986 to 2007",NA,"",NA,"7","Known as ""The Milwaukee North Side Strangler""; convicted of killing 7 prostitutes in Wisconsin between 1986 and 2007. Died in prison on December 1, 2013.",0,7,7
"Tommy Lynn Sells","United States","1980 to 1999",NA,"70?",NA,"6","Drifter active throughout the U.S. who specialized in killing children and multiple victims after breaking into their homes. Caught when a 10-year-old girl survived his attack and provided a description of him. Executed in Texas on April 3, 2014.",0,6,6
"Władysław Mazurkiewicz","Poland","1950s",NA,"30",NA,"6","Known as ""The Gentleman Killer"". Indicted of, and confessed to having committed 30 murders; convicted of 6 and hanged in 1957.",0,6,6
"Robert Pickton","Canada","1995 to 2001",NA,"26–49",NA,"6","Found guilty of six counts of second-degree murder. Accused of murdering 20 other women, most of them prostitutes and drug dealers. Comments by Pickton suggest that the total may be 49.",0,6,6
"Gong Runbo","China","2005 to 2006",NA,"20+",NA,"6","Found guilty of the murders of six children and teenagers aged between nine and 16 from 2005 to 2006; executed 2007.",0,6,6
"John Wayne Glover","Australia","1989 to 1990",NA,"13",NA,"6","British ex-pat living in Australia. Known by the media as ""The Granny Killer"" as he targeted elderly women; committed suicide while in prison in 2005.",0,6,6
"Joseph Naso","United States","1977 to 1994",NA,"10",NA,"6","A freelance photographers who raped and strangled to death women in California. Arrested in 2011 and sentenced to death two years later. Known as ""The Double Initial Killer"" since first four victims to be identified bore double initials.",0,6,6
"John George Haigh","United Kingdom","1944 to 1949",NA,"9",NA,"6","Called the ""Acid Bath Murderer"" for dissolving his victims in sulphuric acid under the belief that he could not be prosecuted for murder if no body was found. He would then forge papers to sell the victims possessions. Confessed nine murders, convicted of six and hanged.",0,6,6
"Aileen Carol Wuornos","United States","1989 to 1990",NA,"8+",NA,"6","Killed strangers, all men, along Florida highways over 13 months while working as a prostitute.",0,6,6
"Jack the Stripper","United Kingdom","1964 to 1965",NA,"8",NA,"6","Murdered at least six prostitutes in London and may have been responsible for the deaths of two others before that. Remains unidentified.",0,6,6
"James Miller","Australia","1976 to 1977",NA,"7",NA,"6","Sentenced to six consecutive terms of life imprisonment with a non-parole period of 35 years. Died of cancer in 2008.",0,6,6
"Morris Solomon Jr.","United States","1986 to 1987",NA,"7",NA,"6","Handyman who killed six young women between 1986 and 1987 in Sacramento, California. Sentenced to death on September 16, 1992.",0,6,6
"Robert Berdella","United States","1984 to 1987",NA,"6+",NA,"6","Berdella abducted, raped, tortured, and murdered at least six men.",0,6,6
"Mack Ray Edwards","United States","1953 to 1970",NA,"6+",NA,"6","Molester. Murdered 2 young girls and 4 young boys. Claimed at one point to have killed as many as 18.",0,6,6
"Eugen Weidmann","France","1937",NA,"",NA,"6","German who strangled and robbed American dancer Jean de Koven, shot a former accomplice, and shot dead and robbed four other people around Paris in 1937.",0,6,6
"Celine Lesage","France","2000 to 2007",NA,"",NA,"6","Killed seven of her newborn babies and sentenced to 15 years in prison.",0,6,6
"Filiberto Hernández Martínez","Mexico","2010 to 2013",NA,"",NA,"6","Killed six people from 2010 to 2013 in Tamuín.",0,6,6
"Richard Trenton Chase","United States","1977",NA,"",NA,"6","Schizophrenic known as ""The ""Vampire of Sacramento"", he was convicted of six murders performed in the span of a month after being released of a psychiatric hospital where he had been committed for killing and eating the raw meat of several animals. In addition to killing his victims, he often raped the women's bodies and drank their blood, or took their organs home and ate them.",0,6,6
"David Berkowitz","United States","1976 to 1977",NA,"",NA,"6","The ""Son of Sam"", he would shoot couples in their cars, killing six and wounding seven.",0,6,6
"Samuel Bongani Mfeka","South Africa","1993 to 1996",NA,"",NA,"6","Killed 6 women from 1993 to 1996 and sentenced to life imprisonment.",0,6,6
"Nicholas Lungisa Ncama","South Africa","1997",NA,"",NA,"6","Murdered 6 people in the Eastern Cape, 1997.",0,6,6
"Leslie Irvin","United States","1954 to 1955",NA,"",NA,"6","Known as ""The Mad Dog Killer""; Killed six people in robberies in the mid-1950s; his Supreme Court case set a precedent for fair trials of highly publicized defendants.",0,6,6
"Aleksandr Rubel","Estonia","1997 to 1998",NA,"",NA,"6","He was intoxicated on gasoline vapour during his murders. Sentenced as a minor to the maximum punishment allowed by law — eight years imprisonment — he was released in 2006.",0,6,6
"András Pándy","Belgium","1986 to 1990",NA,"",NA,"6","Former clergyman nicknamed ""Father Bluebeard"", killed his two wives and four of his children with the help of a fifth he was having an incestuous affair with, and whom denounced him to the authorities seven years later. Sentenced to life imprisonment in 2002.",0,6,6
"Dayton Leroy Rogers","United States","1983 to 1987",NA,"",NA,"6","Killed street women, usually addicts, prostitutes and runaways. He would tie, rape, and kill them in a forest.",0,6,6
"Alfredo Galán","Spain","2003",NA,"",NA,"6","Called ""The Deck of Cards Killer"". A former corporal in the Spanish Army, he ambushed random people and shot them in the head or back at very close range, using always a Tokarev TT-33 handgun that he had acquired while stationed in Bosnia. Three other victims survived. After each attack he would leave a marked playing card as his signature. Sentenced to 142 years in prison after surrendering himself voluntarily to justice.",0,6,6
"Rory Enrique Conde","United States","1994 to 1995",NA,"",NA,"6","Known as ""The Tamiami Trail Strangler"". Killed 6 prostitutes in Florida. Sentenced to death on March 7, 2000.",0,6,6
"Rhonda Belle Martin","United States","1937 to 1951",NA,"",NA,"6","Alabama poisoner who murdered six family members; executed in 1957.",0,6,6
"Nathaniel White","United States","1991 to 1992",NA,"",NA,"6","Convicted of stabbing to death six women in the Hudson Valley, New York area from 1991 to 1992.",0,6,6
"Lemuel Smith","United States","1958 to 1981",NA,"",NA,"6","Confessed to the murders of five people, including an on-duty female prison guard. Sentenced to death on June 10, 1983. Conmmuted to life in 1984.",0,6,6
"Freeway Phantom","United States","1971 to 1972",NA,"",NA,"6","Raped and strangled six young women and girls in Washington, D.C. in the early 1970s, dumping their bodies by freeways.",0,6,6
"David Mason","United States","1980 to 1982",NA,"",NA,"6","Strangled four elderly neighbors, his cellmate when imprisoned on lesser charges; shot his boyfriend.",0,6,6
"Cleophus Prince Jr.","United States","1990",NA,"",NA,"6","Known as ""The Clairemont Killer""; raped and killed six women in San Diego in 1990.",0,6,6
"Gary Ray Bowles","United States","1994",NA,"",NA,"6","Beat and strangled six men to death to steal their credit cards in 1994.",0,6,6
"Friedrich Schumann","Germany","1918 to 1920",NA,"",NA,"6","Killed six people and executed in 1921.",0,6,6
"Norbert Poehlke","Germany","1984 to 1985",NA,"",NA,"6","Known as ""The Hammer-Killer"", German police officer who was found, after his suicide in 1985, to have committed several bank robberies and murders.",0,6,6
"Wolfgang Schmidt","Germany","1989 to 1991",NA,"",NA,"6","Known as the ""Beast of Beelitz"". Killed five women and a 3 month old baby from 1989 to 1991. Currently in a psychiatric hospital.",0,6,6
